"Bore ID","Date","Variable","Result (m)","Quality Code","Agency"
"GW273314.1.1",2015-02-15 00:00:00.0,"SWL",6.86,"quality-E","WaterNSW"
"GW273314.1.1",2015-02-16 00:00:00.0,"SWL",6.87,"quality-E","WaterNSW"
"GW273314.1.1",2015-02-17 00:00:00.0,"SWL",6.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-18 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-19 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-20 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-21 00:00:00.0,"SWL",6.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-22 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-23 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-24 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-25 00:00:00.0,"SWL",6.91,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-26 00:00:00.0,"SWL",6.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-27 00:00:00.0,"SWL",6.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-02-28 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-01 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-02 00:00:00.0,"SWL",6.91,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-03 00:00:00.0,"SWL",6.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-04 00:00:00.0,"SWL",6.87,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-05 00:00:00.0,"SWL",6.84,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-06 00:00:00.0,"SWL",6.83,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-07 00:00:00.0,"SWL",6.82,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-08 00:00:00.0,"SWL",6.82,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-09 00:00:00.0,"SWL",6.80,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-10 00:00:00.0,"SWL",6.81,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-11 00:00:00.0,"SWL",6.81,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-12 00:00:00.0,"SWL",6.80,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-13 00:00:00.0,"SWL",6.79,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-14 00:00:00.0,"SWL",6.79,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-15 00:00:00.0,"SWL",6.73,"quality-A","WaterNSW"
