"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Constructiontype","Material","Inner Diameter","Outer Diameter","Property","Property Size","Drill Method"
"GW273314.1.1",0.0,62.0,215.31,153.31,"UNK","UNK",,273.0,"UNK",,"ROT"
"GW273314.1.1",199.0,217.0,16.31,-1.69,"UNK","UNK",,152.0,"UNK",,"ROT"
"GW273314.1.1",62.0,199.0,153.31,16.31,"UNK","UNK",,216.0,"UNK",,"ROT"
"GW273314.1.1",0.0,6.0,215.31,209.31,"LIN","UNK",235.0,245.0,"UNK",,"UNK"
"GW273314.1.1",0.0,62.0,215.31,153.31,"LIN","UNK",263.0,273.0,"UNK",,"UNK"
"GW273314.1.1",167.5,197.5,47.81,17.81,"LIN","UNK",131.0,141.0,"UNK",,"UNK"
"GW273314.1.1",182.0,195.0,33.31,20.31,"INLT","UNK",,160.0,"UNK",,"UNK"
"GW273314.1.1",62.0,180.0,153.31,35.31,"LIN","UNK",158.0,168.0,"UNK",,"UNK"
